,subject_age,subject_race,subject_sex,arrest_made,citation_issued,warning_issued,contraband_found,search_person,search_vehicle,reason_for_search,reason_for_stop
2316003,26.0,black,male,True,False,False,False,True,True,incarrest,------(c)
2316004,25.0,white,male,True,False,False,False,True,False,incarrest,------(a)
2316037,28.0,white,male,True,False,False,False,True,False,incarrest,------(C)
2316043,56.0,black,male,True,False,False,False,True,True,cons,------(b)
2316051,41.0,white,male,True,False,False,False,True,True,incarrest,------(c)
2316060,27.0,white,male,True,False,False,False,True,True,cons,------(c-)
2316067,21.0,white,male,True,False,False,False,True,True,incarrest,------(a-)
2316084,51.0,black,male,False,False,True,False,True,True,cons,------(b)
2316095,45.0,black,male,True,False,False,False,True,True,incarrest,------(b)
2316111,18.0,hispanic,male,True,False,False,False,True,True,incarrest,------(a-)
2316121,48.0,black,female,True,False,False,False,True,True,incarrest,------(a)
2316146,28.0,white,male,False,True,False,False,False,True,other,------(f)
2316154,22.0,black,male,True,False,False,False,True,False,incarrest,------(d)
2316165,43.0,white,male,True,False,False,False,True,True,incarrest,------(c)
2316173,31.0,hispanic,male,True,False,False,False,True,False,incarrest,------(d-)
2316182,45.0,white,female,True,False,False,False,True,True,incarrest,------.-
2316190,21.0,black,male,False,False,True,False,True,True,exigent,------.-(e-)
2316203,46.0,black,male,False,False,True,False,True,True,cons,------.-
2316215,21.0,black,male,False,True,False,False,True,True,k-,------.-
2316223,40.0,white,male,True,False,False,False,True,True,incarrest,-------(c)
2316240,19.0,black,male,True,False,False,True,True,True,other,------.-
2316254,24.0,white,female,True,False,False,False,True,True,cons,------(h)
2316255,24.0,white,female,True,False,False,False,False,True,cons,------(h)
2316299,25.0,black,male,True,False,False,False,True,True,prob,------.-
2316319,28.0,white,male,False,True,False,False,True,True,cons,------(a)
2316332,45.0,hispanic,male,True,False,False,False,True,True,incarrest,------(a-)
2316333,29.0,black,male,True,False,False,False,True,False,incarrest,------(c)
2316358,17.0,hispanic,female,False,False,True,False,False,True,cons,------(a)
2316365,38.0,hispanic,male,True,False,False,False,True,True,incarrest,------.-
2316366,33.0,white,male,True,False,False,True,True,True,incarrest,------(a-)
