,subject_age,subject_race,subject_sex,contraband_found,frisk_performed,search_person,search_vehicle,reason_for_stop,reason_for_search
6546,36.0,black,male,False,True,True,True,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
6612,27.0,black,male,True,False,True,True,VIOLATION OF PENAL CODE,PROBABLE CAUSE
6666,22.0,white,male,False,True,True,True,OTHER,FRISK FOR SAFETY
6670,44.0,white,female,False,True,True,False,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
6672,21.0,white,female,False,True,True,True,SUSPICIOUS PERSON / VEHICLE,FRISK FOR SAFETY
6675,49.0,white,male,False,True,True,False,CALL FOR SERVICE,FRISK FOR SAFETY
6682,49.0,black,male,False,True,True,False,SUSPICIOUS PERSON / VEHICLE,FRISK FOR SAFETY
6683,23.0,white,male,False,True,True,False,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
6870,22.0,white,male,False,True,True,True,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
6973,26.0,white,male,True,True,True,False,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
7034,24.0,white,male,False,True,True,True,SUSPICIOUS PERSON / VEHICLE,FRISK FOR SAFETY
7081,26.0,white,male,False,False,True,True,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,CONSENT
7183,19.0,white,male,False,True,True,False,CALL FOR SERVICE,FRISK FOR SAFETY
7191,54.0,hispanic,male,True,True,True,True,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
7205,29.0,hispanic,male,False,True,True,False,CALL FOR SERVICE,FRISK FOR SAFETY
7211,45.0,white,male,True,True,True,False,SUSPICIOUS PERSON / VEHICLE,FRISK FOR SAFETY
7215,34.0,white,male,False,True,True,False,CALL FOR SERVICE,FRISK FOR SAFETY
7226,23.0,hispanic,male,False,False,True,False,CALL FOR SERVICE,CONSENT
7234,21.0,hispanic,male,True,True,True,False,CALL FOR SERVICE,FRISK FOR SAFETY
7236,16.0,hispanic,male,True,True,True,False,CALL FOR SERVICE,FRISK FOR SAFETY
7274,18.0,hispanic,male,False,True,True,False,SUSPICIOUS PERSON / VEHICLE,FRISK FOR SAFETY
7276,18.0,hispanic,male,False,True,True,False,SUSPICIOUS PERSON / VEHICLE,FRISK FOR SAFETY
7279,52.0,hispanic,male,False,True,True,False,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
7394,34.0,black,male,False,True,True,True,SUSPICIOUS PERSON / VEHICLE,FRISK FOR SAFETY
